timestamps,open,high,low,close,volume,amount
2026-03-26 09:35:00,13.13,13.25,13.1,13.21,13744,18136706.0
2026-03-26 09:40:00,13.2,13.24,13.19,13.21,6844,9038709.0
2026-03-26 09:45:00,13.2,13.25,13.18,13.21,7873,10406224.0
2026-03-26 09:50:00,13.2,13.21,13.18,13.19,4873,6428778.0
2026-03-26 09:55:00,13.19,13.2,13.16,13.2,7071,9315681.0
2026-03-26 10:00:00,13.2,13.23,13.19,13.23,4785,6324397.0
2026-03-26 10:05:00,13.22,13.23,13.21,13.22,3517,4647393.0
2026-03-26 10:10:00,13.23,13.23,13.21,13.22,4285,5665330.0
2026-03-26 10:15:00,13.22,13.24,13.21,13.22,2720,3598584.0
2026-03-26 10:20:00,13.23,13.24,13.18,13.19,6205,8195396.0
2026-03-26 10:25:00,13.18,13.2,13.18,13.19,2536,3345349.0
2026-03-26 10:30:00,13.19,13.21,13.18,13.2,2694,3552608.0
2026-03-26 10:35:00,13.2,13.22,13.19,13.19,2437,3217663.0
2026-03-26 10:40:00,13.19,13.2,13.17,13.18,3544,4671579.0
2026-03-26 10:45:00,13.19,13.2,13.18,13.19,1653,2180447.0
2026-03-26 10:50:00,13.2,13.2,13.17,13.17,2336,3079320.0
2026-03-26 10:55:00,13.17,13.18,13.14,13.16,4296,5651816.0
2026-03-26 11:00:00,13.16,13.16,13.13,13.14,4223,5548917.0
2026-03-26 11:05:00,13.15,13.17,13.14,13.14,2175,2860463.0
2026-03-26 11:10:00,13.14,13.15,13.12,13.13,2629,3453791.0
2026-03-26 11:15:00,13.12,13.14,13.11,13.14,2384,3127825.0
2026-03-26 11:20:00,13.13,13.15,13.12,13.13,1462,1921155.0
2026-03-26 11:25:00,13.13,13.15,13.13,13.14,1932,2538406.0
2026-03-26 11:30:00,13.15,13.15,13.14,13.14,1114,1464338.0
2026-03-26 13:05:00,13.15,13.17,13.12,13.12,3237,4253482.0
2026-03-26 13:10:00,13.13,13.13,13.06,13.1,9386,12291809.0
2026-03-26 13:15:00,13.1,13.1,13.07,13.08,3194,4178125.0
2026-03-26 13:20:00,13.08,13.11,13.08,13.1,2389,3127025.0
2026-03-26 13:25:00,13.1,13.1,13.04,13.06,4113,5371579.0
2026-03-26 13:30:00,13.06,13.07,13.04,13.06,2845,3714107.0
2026-03-26 13:35:00,13.07,13.09,13.05,13.06,3827,5002258.0
2026-03-26 13:40:00,13.06,13.08,13.05,13.06,3819,4989308.0
2026-03-26 13:45:00,13.06,13.09,13.05,13.08,1840,2405892.0
2026-03-26 13:50:00,13.06,13.09,13.05,13.07,3029,3957591.0
2026-03-26 13:55:00,13.07,13.08,13.06,13.08,932,1218144.0
2026-03-26 14:00:00,13.08,13.1,13.06,13.07,2006,2622886.0
2026-03-26 14:05:00,13.07,13.09,13.06,13.09,2049,2678191.0
2026-03-26 14:10:00,13.09,13.09,13.06,13.07,1324,1731281.0
2026-03-26 14:15:00,13.06,13.07,13.05,13.05,2960,3864320.0
2026-03-26 14:20:00,13.04,13.06,13.04,13.05,1853,2418310.0
2026-03-26 14:25:00,13.05,13.05,13.03,13.04,2079,2711075.0
2026-03-26 14:30:00,13.05,13.05,13.03,13.05,1576,2054986.0
2026-03-26 14:35:00,13.05,13.05,13.02,13.04,4054,5283607.0
2026-03-26 14:40:00,13.04,13.06,13.03,13.04,3592,4685812.0
2026-03-26 14:45:00,13.03,13.04,13.01,13.02,3823,4978676.0
2026-03-26 14:50:00,13.02,13.03,13.01,13.02,3582,4663188.0
2026-03-26 14:55:00,13.03,13.05,13.02,13.04,3168,4131203.0
2026-03-26 15:00:00,13.04,13.07,13.04,13.07,3847,5023026.0
2026-03-27 09:35:00,12.9,13.15,12.84,13.09,21114,27432783.0
2026-03-27 09:40:00,13.1,13.12,13.08,13.11,7765,10177306.0
2026-03-27 09:45:00,13.12,13.16,13.07,13.07,7326,9607557.0
2026-03-27 09:50:00,13.07,13.12,13.07,13.08,8852,11586181.0
2026-03-27 09:55:00,13.08,13.13,13.07,13.12,3223,4222569.0
2026-03-27 10:00:00,13.11,13.16,13.11,13.16,3323,4364076.0
2026-03-27 10:05:00,13.16,13.17,13.14,13.16,4321,5683349.0
2026-03-27 10:10:00,13.16,13.17,13.13,13.16,3323,4368877.0
2026-03-27 10:15:00,13.16,13.19,13.16,13.18,3954,5211804.0
2026-03-27 10:20:00,13.19,13.23,13.19,13.2,4605,6082385.0
2026-03-27 10:25:00,13.2,13.2,13.14,13.15,2422,3189092.0
2026-03-27 10:30:00,13.15,13.17,13.15,13.17,2733,3597032.0
2026-03-27 10:35:00,13.16,13.19,13.15,13.17,2555,3364891.0
2026-03-27 10:40:00,13.17,13.18,13.15,13.16,1385,1823169.0
2026-03-27 10:45:00,13.16,13.16,13.14,13.14,1599,2102136.0
2026-03-27 10:50:00,13.14,13.17,13.14,13.15,1145,1506321.0
2026-03-27 10:55:00,13.15,13.16,13.14,13.15,1051,1382310.0
2026-03-27 11:00:00,13.15,13.15,13.1,13.11,2488,3264902.0
2026-03-27 11:05:00,13.12,13.14,13.11,13.12,1604,2105102.0
2026-03-27 11:10:00,13.11,13.13,13.11,13.12,1180,1547848.0
2026-03-27 11:15:00,13.12,13.14,13.12,13.13,1209,1587589.0
2026-03-27 11:20:00,13.14,13.15,13.12,13.15,946,1242311.0
2026-03-27 11:25:00,13.14,13.14,13.12,13.13,1215,1595705.0
2026-03-27 11:30:00,13.14,13.14,13.12,13.12,1060,1391698.0
2026-03-27 13:05:00,13.12,13.19,13.12,13.19,5361,7059299.0
2026-03-27 13:10:00,13.19,13.24,13.19,13.24,6665,8806923.0
2026-03-27 13:15:00,13.24,13.24,13.21,13.22,8217,10866741.0
2026-03-27 13:20:00,13.22,13.24,13.2,13.23,4570,6043020.0
2026-03-27 13:25:00,13.21,13.22,13.2,13.21,2381,3145433.0
2026-03-27 13:30:00,13.21,13.23,13.2,13.21,2917,3853841.0
2026-03-27 13:35:00,13.22,13.24,13.21,13.21,2556,3380818.0
2026-03-27 13:40:00,13.22,13.23,13.21,13.22,1606,2123707.0
2026-03-27 13:45:00,13.22,13.23,13.2,13.22,2015,2662398.0
2026-03-27 13:50:00,13.22,13.23,13.21,13.21,1209,1598185.0
2026-03-27 13:55:00,13.21,13.24,13.19,13.2,4958,6552539.0
2026-03-27 14:00:00,13.2,13.21,13.19,13.2,1885,2488650.0
2026-03-27 14:05:00,13.19,13.21,13.18,13.19,1755,2315228.0
2026-03-27 14:10:00,13.2,13.2,13.18,13.2,1215,1602676.0
2026-03-27 14:15:00,13.2,13.2,13.18,13.2,1241,1636786.0
2026-03-27 14:20:00,13.19,13.21,13.19,13.2,1197,1579837.0
2026-03-27 14:25:00,13.2,13.21,13.19,13.21,1631,2154097.0
2026-03-27 14:30:00,13.21,13.22,13.2,13.2,1838,2428343.0
2026-03-27 14:35:00,13.2,13.22,13.19,13.22,2318,3061326.0
2026-03-27 14:40:00,13.21,13.23,13.2,13.2,5669,7491961.0
2026-03-27 14:45:00,13.2,13.22,13.2,13.22,2259,2984873.0
2026-03-27 14:50:00,13.22,13.22,13.2,13.21,2278,3009191.0
2026-03-27 14:55:00,13.21,13.21,13.19,13.21,4208,5555482.0
2026-03-27 15:00:00,13.21,13.23,13.21,13.23,6344,8386548.0
