timestamps,open,high,low,close,volume,amount
2026-05-12 10:45:00,64.02,64.31,63.96,64.31,29536,189236055
2026-05-12 10:50:00,64.3,64.3,64.11,64.25,23677,152015227
2026-05-12 10:55:00,64.22,64.4,64.15,64.17,21764,139810327
2026-05-12 11:00:00,64.16,64.2,64.06,64.18,21146,135605491
2026-05-12 11:05:00,64.16,64.2,63.98,64.0,25413,162786125
2026-05-12 11:10:00,64.0,64.03,63.95,63.98,18013,115273742
2026-05-12 11:15:00,63.97,64.02,63.93,63.93,17954,114845520
2026-05-12 11:20:00,63.93,63.96,63.84,63.84,31411,200672529
2026-05-12 11:25:00,63.84,63.84,63.58,63.59,88556,564338942
2026-05-12 11:30:00,63.59,63.61,63.5,63.61,36554,232276585
2026-05-12 13:05:00,63.61,63.61,63.23,63.29,62225,394535724
2026-05-12 13:10:00,63.28,63.43,63.28,63.28,26823,169904362
2026-05-12 13:15:00,63.29,63.68,63.28,63.68,20167,128148190
2026-05-12 13:20:00,63.67,63.7,63.57,63.66,18795,119618019
2026-05-12 13:25:00,63.68,64.18,63.65,64.16,28024,179157222
2026-05-12 13:30:00,64.17,64.62,63.99,64.57,50232,323154724
2026-05-12 13:35:00,64.59,64.87,64.52,64.63,83754,542012553
2026-05-12 13:40:00,64.58,64.59,64.3,64.41,26509,170877658
2026-05-12 13:45:00,64.41,64.41,64.22,64.23,18441,118559251
2026-05-12 13:50:00,64.23,64.26,64.05,64.05,16951,108717503
2026-05-12 13:55:00,64.07,64.2,64.01,64.01,19616,125672560
2026-05-12 14:00:00,64.01,64.37,64.0,64.35,17735,113746939
2026-05-12 14:05:00,64.33,64.41,64.16,64.17,16391,105409443
2026-05-12 14:10:00,64.19,64.24,64.02,64.02,14085,90309577
2026-05-12 14:15:00,64.0,64.13,64.0,64.04,15448,98916942
2026-05-12 14:20:00,64.03,64.15,64.0,64.02,15233,97560181
2026-05-12 14:25:00,64.03,64.16,64.0,64.02,14800,94764691
2026-05-12 14:30:00,64.02,64.1,64.0,64.0,15195,97280506
2026-05-12 14:35:00,64.0,64.05,63.95,64.04,26875,171964375
2026-05-12 14:40:00,64.05,64.15,63.99,64.13,20461,131140241
2026-05-12 14:45:00,64.15,64.39,64.15,64.36,33354,214270993
2026-05-12 14:50:00,64.37,64.47,64.29,64.29,39738,255824928
2026-05-12 14:55:00,64.29,64.5,64.29,64.45,52996,341487266
2026-05-12 15:00:00,64.45,64.46,64.4,64.4,36967,238138436
2026-05-13 09:35:00,64.1,66.57,63.86,66.05,380714,2495691292
2026-05-13 09:40:00,66.05,68.36,66.01,67.96,523232,3527194512
2026-05-13 09:45:00,67.96,68.2,67.88,68.12,302941,2061971664
2026-05-13 09:50:00,68.12,69.45,68.1,68.95,384944,2648763922
2026-05-13 09:55:00,68.95,69.06,68.07,68.07,162023,1111683749
2026-05-13 10:00:00,68.04,68.43,67.96,68.15,121760,829471601
2026-05-13 10:05:00,68.15,68.37,67.85,68.37,104588,711276353
2026-05-13 10:10:00,68.4,68.84,68.37,68.73,86735,594692955
2026-05-13 10:15:00,68.8,69.19,68.78,69.02,147121,1014712314
2026-05-13 10:20:00,69.08,69.3,69.05,69.22,122339,846411673
2026-05-13 10:25:00,69.28,69.99,69.28,69.81,203291,1417201991
2026-05-13 10:30:00,69.81,70.0,69.8,69.93,83604,584668866
2026-05-13 10:35:00,69.87,70.25,69.75,70.24,142422,996689882
2026-05-13 10:40:00,70.25,70.5,70.12,70.25,70944,498600142
2026-05-13 10:45:00,70.26,70.45,69.85,69.99,67579,473860671
2026-05-13 10:50:00,69.98,70.06,69.73,69.75,60303,421211179
2026-05-13 10:55:00,69.75,70.0,69.75,69.9,45361,316769525
2026-05-13 11:00:00,69.89,69.93,69.64,69.66,39713,277046668
2026-05-13 11:05:00,69.61,69.76,69.3,69.7,57580,400180463
2026-05-13 11:10:00,69.69,69.75,69.62,69.68,25466,177469684
2026-05-13 11:15:00,69.7,69.93,69.53,69.75,30522,212824289
2026-05-13 11:20:00,69.74,70.0,69.74,69.98,48702,340738160
2026-05-13 11:25:00,69.97,70.29,69.93,70.29,58467,409820235
2026-05-13 11:30:00,70.32,70.36,70.23,70.31,60986,428834582
2026-05-13 13:05:00,70.31,70.79,70.31,70.75,166710,1176894304
2026-05-13 13:10:00,70.75,70.84,70.74,70.84,353431,2503315461
2026-05-13 13:15:00,70.84,70.84,70.84,70.84,35259,249774756
2026-05-13 13:20:00,70.84,70.84,70.84,70.84,34241,242565015
2026-05-13 13:25:00,70.84,70.84,70.84,70.84,29857,211508759
2026-05-13 13:30:00,70.84,70.84,70.84,70.84,13804,97787536
2026-05-13 13:35:00,70.84,70.84,70.84,70.84,8809,62402956
2026-05-13 13:40:00,70.84,70.84,70.84,70.84,14068,99658633
2026-05-13 13:45:00,70.84,70.84,70.84,70.84,5225,37010641
2026-05-13 13:50:00,70.84,70.84,70.84,70.84,9356,66277337
2026-05-13 13:55:00,70.84,70.84,70.84,70.84,5060,35844757
2026-05-13 14:00:00,70.84,70.84,70.84,70.84,5557,39365788
2026-05-13 14:05:00,70.84,70.84,70.84,70.84,2786,19739283
2026-05-13 14:10:00,70.84,70.84,70.84,70.84,4905,34747020
2026-05-13 14:15:00,70.84,70.84,70.84,70.84,2959,20961697
